input,output
length of weight = 2842,ColumnLength `weight` = 2842
type of cusip is boolean,ColumnDataType `cusip` = 2842
age >= 726674,ColumnValue `age` >= 726674
length of weight = 5179,ColumnLength `weight` = 5179
height >= 464321,ColumnValue `height` >= 464321
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 464321
length of cusip < 2703,ColumnLength `cusip` < 2703
height <= 67074,ColumnValue `height` <= 67074
length of age = 1518,ColumnLength `age` = 1518
length of weight <= 8172,ColumnLength `weight` <= 8172
type of height is int,ColumnDataType `height` = 8172
length of holdings <= 3789,ColumnLength `holdings` <= 3789
length of salary > 2597,ColumnLength `salary` > 2597
holdings >= 689860,ColumnValue `holdings` >= 689860
length of holdings > 7443,ColumnLength `holdings` > 7443
type of height is string,ColumnDataType `height` = 7443
length of salary = 9076,ColumnLength `salary` = 9076
type of weight is int,ColumnDataType `weight` = 9076
type of height is string,ColumnDataType `height` = 9076
weight < 300776,ColumnValue `weight` < 300776
length of height >= 9733,ColumnLength `height` >= 9733
holdings <= 927585,ColumnValue `holdings` <= 927585
salary = 326666,ColumnValue `salary` = 326666
ticker_symbol > 169374,ColumnValue `ticker_symbol` > 169374
length of holdings < 9419,ColumnLength `holdings` < 9419
type of age is int,ColumnDataType `age` = 9419
length of cusip <= 1266,ColumnLength `cusip` <= 1266
type of age is string,ColumnDataType `age` = 1266
type of age is int,ColumnDataType `age` = 1266
type of age is float,ColumnDataType `age` = 1266
length of holdings < 2000,ColumnLength `holdings` < 2000
type of holdings is float,ColumnDataType `holdings` = 2000
length of holdings <= 6804,ColumnLength `holdings` <= 6804
type of holdings is int,ColumnDataType `holdings` = 6804
length of height < 4085,ColumnLength `height` < 4085
weight >= 967691,ColumnValue `weight` >= 967691
type of weight is string,ColumnDataType `weight` = 967691
length of salary > 9141,ColumnLength `salary` > 9141
type of holdings is int,ColumnDataType `holdings` = 9141
type of salary is string,ColumnDataType `salary` = 9141
length of holdings <= 3929,ColumnLength `holdings` <= 3929
holdings <= 846031,ColumnValue `holdings` <= 846031
length of cusip = 6012,ColumnLength `cusip` = 6012
salary = 876549,ColumnValue `salary` = 876549
type of weight is boolean,ColumnDataType `weight` = 876549
type of height is boolean,ColumnDataType `height` = 876549
length of cusip > 8999,ColumnLength `cusip` > 8999
length of ticker_symbol < 4131,ColumnLength `ticker_symbol` < 4131
age >= 797238,ColumnValue `age` >= 797238
length of ticker_symbol < 1101,ColumnLength `ticker_symbol` < 1101
holdings <= 110888,ColumnValue `holdings` <= 110888
weight < 965613,ColumnValue `weight` < 965613
type of salary is string,ColumnDataType `salary` = 965613
type of age is boolean,ColumnDataType `age` = 965613
type of height is boolean,ColumnDataType `height` = 965613
length of weight >= 331,ColumnLength `weight` >= 331
salary = 730611,ColumnValue `salary` = 730611
weight = 687325,ColumnValue `weight` = 687325
length of salary < 2161,ColumnLength `salary` < 2161
type of height is float,ColumnDataType `height` = 2161
type of salary is float,ColumnDataType `salary` = 2161
length of weight < 6639,ColumnLength `weight` < 6639
type of age is boolean,ColumnDataType `age` = 6639
type of height is float,ColumnDataType `height` = 6639
ticker_symbol >= 578674,ColumnValue `ticker_symbol` >= 578674
length of age > 765,ColumnLength `age` > 765
type of cusip is string,ColumnDataType `cusip` = 765
salary >= 297210,ColumnValue `salary` >= 297210
type of cusip is float,ColumnDataType `cusip` = 297210
age < 185884,ColumnValue `age` < 185884
cusip <= 161022,ColumnValue `cusip` <= 161022
type of height is string,ColumnDataType `height` = 161022
length of cusip <= 7598,ColumnLength `cusip` <= 7598
type of cusip is boolean,ColumnDataType `cusip` = 7598
length of holdings = 6588,ColumnLength `holdings` = 6588
holdings <= 666206,ColumnValue `holdings` <= 666206
length of cusip >= 5167,ColumnLength `cusip` >= 5167
type of age is float,ColumnDataType `age` = 5167
ticker_symbol >= 981971,ColumnValue `ticker_symbol` >= 981971
age >= 950471,ColumnValue `age` >= 950471
holdings < 360311,ColumnValue `holdings` < 360311
salary = 880284,ColumnValue `salary` = 880284
type of holdings is string,ColumnDataType `holdings` = 880284
length of weight <= 2872,ColumnLength `weight` <= 2872
length of ticker_symbol < 2256,ColumnLength `ticker_symbol` < 2256
type of cusip is float,ColumnDataType `cusip` = 2256
age <= 625303,ColumnValue `age` <= 625303
length of age > 2068,ColumnLength `age` > 2068
type of holdings is int,ColumnDataType `holdings` = 2068
type of weight is float,ColumnDataType `weight` = 2068
length of height < 8344,ColumnLength `height` < 8344
length of height <= 4465,ColumnLength `height` <= 4465
age >= 65364,ColumnValue `age` >= 65364
length of weight < 5461,ColumnLength `weight` < 5461
length of ticker_symbol = 8485,ColumnLength `ticker_symbol` = 8485
type of ticker_symbol is int,ColumnDataType `ticker_symbol` = 8485
length of age > 8761,ColumnLength `age` > 8761
type of salary is boolean,ColumnDataType `salary` = 8761
type of salary is string,ColumnDataType `salary` = 8761
length of weight < 5366,ColumnLength `weight` < 5366
length of holdings <= 2186,ColumnLength `holdings` <= 2186
age >= 469097,ColumnValue `age` >= 469097
holdings > 259638,ColumnValue `holdings` > 259638
type of cusip is boolean,ColumnDataType `cusip` = 259638
length of ticker_symbol <= 5068,ColumnLength `ticker_symbol` <= 5068
type of salary is boolean,ColumnDataType `salary` = 5068
length of height < 5389,ColumnLength `height` < 5389
length of cusip >= 1967,ColumnLength `cusip` >= 1967
cusip = 525460,ColumnValue `cusip` = 525460
length of ticker_symbol > 5514,ColumnLength `ticker_symbol` > 5514
length of cusip = 8174,ColumnLength `cusip` = 8174
holdings >= 916331,ColumnValue `holdings` >= 916331
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 916331
length of height >= 2512,ColumnLength `height` >= 2512
type of weight is int,ColumnDataType `weight` = 2512
length of holdings <= 2445,ColumnLength `holdings` <= 2445
ticker_symbol = 901754,ColumnValue `ticker_symbol` = 901754
length of holdings < 592,ColumnLength `holdings` < 592
length of height <= 3480,ColumnLength `height` <= 3480
length of height = 1322,ColumnLength `height` = 1322
length of height = 8239,ColumnLength `height` = 8239
length of salary >= 536,ColumnLength `salary` >= 536
weight > 43821,ColumnValue `weight` > 43821
salary = 521205,ColumnValue `salary` = 521205
length of ticker_symbol <= 816,ColumnLength `ticker_symbol` <= 816
length of ticker_symbol < 4877,ColumnLength `ticker_symbol` < 4877
type of holdings is float,ColumnDataType `holdings` = 4877
holdings >= 439093,ColumnValue `holdings` >= 439093
length of weight = 3314,ColumnLength `weight` = 3314
length of cusip <= 6078,ColumnLength `cusip` <= 6078
length of cusip <= 9990,ColumnLength `cusip` <= 9990
length of weight <= 9269,ColumnLength `weight` <= 9269
length of holdings < 2478,ColumnLength `holdings` < 2478
length of cusip > 6308,ColumnLength `cusip` > 6308
holdings <= 331841,ColumnValue `holdings` <= 331841
type of height is boolean,ColumnDataType `height` = 331841
age > 304055,ColumnValue `age` > 304055
type of weight is boolean,ColumnDataType `weight` = 304055
holdings = 788722,ColumnValue `holdings` = 788722
length of height >= 9690,ColumnLength `height` >= 9690
type of cusip is boolean,ColumnDataType `cusip` = 9690
length of salary = 1959,ColumnLength `salary` = 1959
height = 939951,ColumnValue `height` = 939951
type of height is boolean,ColumnDataType `height` = 939951
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 939951
type of holdings is string,ColumnDataType `holdings` = 939951
type of ticker_symbol is string,ColumnDataType `ticker_symbol` = 939951
length of age < 364,ColumnLength `age` < 364
type of cusip is string,ColumnDataType `cusip` = 364
length of ticker_symbol >= 2164,ColumnLength `ticker_symbol` >= 2164
height >= 275873,ColumnValue `height` >= 275873
type of height is float,ColumnDataType `height` = 275873
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 275873
type of salary is int,ColumnDataType `salary` = 275873
length of age < 1935,ColumnLength `age` < 1935
weight >= 175763,ColumnValue `weight` >= 175763
length of salary < 4609,ColumnLength `salary` < 4609
length of ticker_symbol = 4213,ColumnLength `ticker_symbol` = 4213
length of age < 7028,ColumnLength `age` < 7028
type of age is float,ColumnDataType `age` = 7028
height > 823208,ColumnValue `height` > 823208
length of age > 7844,ColumnLength `age` > 7844
type of holdings is float,ColumnDataType `holdings` = 7844
length of cusip = 7474,ColumnLength `cusip` = 7474
age = 739646,ColumnValue `age` = 739646
length of height >= 9805,ColumnLength `height` >= 9805
height <= 355568,ColumnValue `height` <= 355568
cusip = 446902,ColumnValue `cusip` = 446902
type of height is string,ColumnDataType `height` = 446902
weight < 782242,ColumnValue `weight` < 782242
length of holdings = 6370,ColumnLength `holdings` = 6370
length of height <= 5116,ColumnLength `height` <= 5116
ticker_symbol <= 272064,ColumnValue `ticker_symbol` <= 272064
type of salary is float,ColumnDataType `salary` = 272064
type of weight is float,ColumnDataType `weight` = 272064
length of age > 7855,ColumnLength `age` > 7855
length of ticker_symbol < 4470,ColumnLength `ticker_symbol` < 4470
age < 921347,ColumnValue `age` < 921347
type of height is int,ColumnDataType `height` = 921347
holdings > 987239,ColumnValue `holdings` > 987239
type of salary is string,ColumnDataType `salary` = 987239
weight = 229608,ColumnValue `weight` = 229608
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 229608
holdings < 193444,ColumnValue `holdings` < 193444
length of height < 2556,ColumnLength `height` < 2556
height = 560951,ColumnValue `height` = 560951
type of holdings is int,ColumnDataType `holdings` = 560951
length of cusip <= 1239,ColumnLength `cusip` <= 1239
type of age is float,ColumnDataType `age` = 1239
age >= 711764,ColumnValue `age` >= 711764
weight <= 412954,ColumnValue `weight` <= 412954
length of age = 6602,ColumnLength `age` = 6602
height > 25697,ColumnValue `height` > 25697
weight = 790698,ColumnValue `weight` = 790698
type of holdings is string,ColumnDataType `holdings` = 790698
length of salary > 771,ColumnLength `salary` > 771
length of age = 3644,ColumnLength `age` = 3644
holdings = 212525,ColumnValue `holdings` = 212525
holdings > 356591,ColumnValue `holdings` > 356591
type of age is int,ColumnDataType `age` = 356591
type of age is float,ColumnDataType `age` = 356591
type of height is boolean,ColumnDataType `height` = 356591
length of holdings <= 979,ColumnLength `holdings` <= 979
holdings > 86364,ColumnValue `holdings` > 86364
type of holdings is int,ColumnDataType `holdings` = 86364
height < 128634,ColumnValue `height` < 128634
type of cusip is string,ColumnDataType `cusip` = 128634
length of holdings < 8701,ColumnLength `holdings` < 8701
holdings <= 482357,ColumnValue `holdings` <= 482357
length of cusip < 5667,ColumnLength `cusip` < 5667
age >= 404479,ColumnValue `age` >= 404479
length of age <= 9630,ColumnLength `age` <= 9630
age = 750912,ColumnValue `age` = 750912
length of holdings = 5590,ColumnLength `holdings` = 5590
cusip > 947085,ColumnValue `cusip` > 947085
length of cusip < 1866,ColumnLength `cusip` < 1866
type of holdings is boolean,ColumnDataType `holdings` = 1866
length of ticker_symbol <= 9496,ColumnLength `ticker_symbol` <= 9496
weight >= 128660,ColumnValue `weight` >= 128660
height <= 235250,ColumnValue `height` <= 235250
age < 832631,ColumnValue `age` < 832631
salary >= 572821,ColumnValue `salary` >= 572821
length of ticker_symbol > 2616,ColumnLength `ticker_symbol` > 2616
type of salary is string,ColumnDataType `salary` = 2616
length of age < 7173,ColumnLength `age` < 7173
type of age is string,ColumnDataType `age` = 7173
type of cusip is boolean,ColumnDataType `cusip` = 7173
type of salary is string,ColumnDataType `salary` = 7173
type of salary is boolean,ColumnDataType `salary` = 7173
salary <= 508979,ColumnValue `salary` <= 508979
type of holdings is int,ColumnDataType `holdings` = 508979
length of age < 2643,ColumnLength `age` < 2643
length of weight < 3517,ColumnLength `weight` < 3517
length of cusip > 1708,ColumnLength `cusip` > 1708
type of cusip is boolean,ColumnDataType `cusip` = 1708
type of weight is boolean,ColumnDataType `weight` = 1708
type of weight is string,ColumnDataType `weight` = 1708
type of salary is int,ColumnDataType `salary` = 1708
ticker_symbol <= 572220,ColumnValue `ticker_symbol` <= 572220
type of salary is int,ColumnDataType `salary` = 572220
length of weight <= 2320,ColumnLength `weight` <= 2320
length of cusip < 1118,ColumnLength `cusip` < 1118
height >= 681047,ColumnValue `height` >= 681047
length of age = 3038,ColumnLength `age` = 3038
length of cusip <= 2868,ColumnLength `cusip` <= 2868
weight = 951835,ColumnValue `weight` = 951835
weight >= 973397,ColumnValue `weight` >= 973397
type of age is boolean,ColumnDataType `age` = 973397
type of ticker_symbol is boolean,ColumnDataType `ticker_symbol` = 973397
age >= 131744,ColumnValue `age` >= 131744
cusip > 888589,ColumnValue `cusip` > 888589
length of height <= 8829,ColumnLength `height` <= 8829
length of salary <= 2062,ColumnLength `salary` <= 2062
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 2062
type of cusip is float,ColumnDataType `cusip` = 2062
length of holdings = 9618,ColumnLength `holdings` = 9618
type of ticker_symbol is float,ColumnDataType `ticker_symbol` = 9618
length of salary <= 9495,ColumnLength `salary` <= 9495
age = 270182,ColumnValue `age` = 270182
type of age is float,ColumnDataType `age` = 270182
ticker_symbol = 285418,ColumnValue `ticker_symbol` = 285418
holdings < 360480,ColumnValue `holdings` < 360480
length of salary < 7315,ColumnLength `salary` < 7315
type of cusip is int,ColumnDataType `cusip` = 7315
type of cusip is boolean,ColumnDataType `cusip` = 7315
length of weight <= 1166,ColumnLength `weight` <= 1166
length of salary = 4408,ColumnLength `salary` = 4408
weight <= 772835,ColumnValue `weight` <= 772835
length of age > 1818,ColumnLength `age` > 1818
weight = 888141,ColumnValue `weight` = 888141
holdings = 339157,ColumnValue `holdings` = 339157
type of weight is int,ColumnDataType `weight` = 339157
ticker_symbol > 566764,ColumnValue `ticker_symbol` > 566764
cusip = 915741,ColumnValue `cusip` = 915741
type of height is int,ColumnDataType `height` = 915741
type of age is boolean,ColumnDataType `age` = 915741
cusip > 850953,ColumnValue `cusip` > 850953
length of weight <= 2527,ColumnLength `weight` <= 2527
type of cusip is float,ColumnDataType `cusip` = 2527
type of height is boolean,ColumnDataType `height` = 2527
type of cusip is float,ColumnDataType `cusip` = 2527
type of age is float,ColumnDataType `age` = 2527
holdings = 606244,ColumnValue `holdings` = 606244
